ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances,Source
94,A43,,C7H9F9NO+,FC(F)(F)C(OCCC[NH3+])(C(F)(F)F)C(F)(F)F,"3-{[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]oxy}propan-1-aminium","3-{[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]oxy}propan-1-aminium",,"3-[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]oxypropan-1-amine",FC(F)(F)C(OCCCN)(C(F)(F)F)C(F)(F)F,,,,(CF3)3CO(CH2)3NH3+,2.0,Perovskite database
95,4FBzA,4-FBzA,C7H9FN+,C1=CC(=CC=C1C[NH3+])F,4-fluorophenylmethylammonium,(4-fluorophenyl)methylazanium,,(4-fluorophenyl)methanamine,C1=CC(=CC=C1CN)F,140-75-0,C7H8FN,140-75-0,,,2D database
96,4BrBzA,4-BrBzA,C7H9BrN+,C1=CC(=CC=C1C[NH3+])Br,4-bromophenylmethylammonium,(4-bromophenyl)methylazanium,,(4-bromophenyl)methanamine,C1=CC(=CC=C1CN)Br,3959-07-7,C7H8BrN,3959-07-7,,,2D database
97,4ClBzA,4-ClBzA,C7H9ClN+,C1=CC(=CC=C1C[NH3+])Cl,4-chlorophenylmethylammonium,(4-chlorophenyl)methylazanium,,(4-chlorophenyl)methanamine,C1=CC(=CC=C1CN)Cl,104-86-9,C7H8ClN,104-86-9,,,2D database
98,4IBzA,4-IBzA,C7H9IN+,C1=CC(=CC=C1C[NH3+])I,4-iodophenylmethylammonium,(4-iodophenyl)methylazanium,,(4-iodophenyl)methanamine,C1=CC(=CC=C1CN)I,39959-59-6,C7H8IN,39959-59-6,,,2D database
99,CEA,beta3-alaH,C3H8NO2+,C(C[NH3+])C(=O)O,alaninium,2-carboxyethylazanium,,3-aminopropanoic acid,C(CN)C(=O)O,107-95-9,C3H7NO2,107-95-9,,,2D database
100,IBA,IBA,C4H12N+,CC(C)C[NH3+],Isobutylammonium,2-methylpropylazanium,58471-06-0,2-methylpropan-1-amine,CC(C)CN,78-81-9,C4H11N,78-81-9,C8H19NO2,,2D database
101,Tl,,Tl3+,[Tl+3],Thallium,thallium,14627-67-9,Thallium,[Tl],7440-28-0,TlI,7790-30-9,,,2D database
102,BEA,,C4H10N+,C=CCC[NH3+],3-Butenylammonium,but-3-enylazanium,,but-3-en-1-amine,C=CCCN,2524-49-4,C4H9N,2524-49-4,,,2D database
103,IFA,,CH4IN2+,C(=[NH2+])(N)I,Iodoformamidinium,[amino(iodo)methylidene]azanium,,iodomethanediamine,C(N)(N)I,,CH5IN2,,,,2D database
104,F2EA,,C2H6F2N+,C(C(F)F)[NH3+],"2,2-difluoroethylammonium","2,2-difluoroethylazanium",,"2,2-difluoroethanamine",C(C(F)F)N,430-67-1,C2H6ClF2N,79667-91-7,,,2D database
105,HPA,,C3H10NO+,C(C[NH3+])CO,3-aminopropanol,3-hydroxypropylazanium,,3-aminopropan-1-ol,C(CN)CO,156-87-6,C3H10ClNO,14302-46-6,,,2D database
106,BrEA,,C2H7BrN+,C(CBr)[NH3+],2-bromoethylammonium,2-bromoethylazanium,,2-bromoethanamine,C(CBr)N,107-09-5,C2H7Br2N,2576-47-8,,,2D database
