Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
98,A,4IBzA,4-IBzA,C7H9IN+,C1=CC(=CC=C1C[NH3+])I,4-iodophenylmethylammonium,(4-iodophenyl)methylazanium,,(4-iodophenyl)methanamine,C1=CC(=CC=C1CN)I,39959-59-6,,2D database
99,A,CEA,beta3-alaH,C3H8NO2+,C(C[NH3+])C(=O)O,alaninium,2-carboxyethylazanium,,3-aminopropanoic acid,C(CN)C(=O)O,107-95-9,,2D database
100,A,IBA,IBA,C4H12N+,CC(C)C[NH3+],Isobutylammonium,2-methylpropylazanium,58471-06-0,2-methylpropan-1-amine,CC(C)CN,78-81-9,,2D database
101,A,Tl,,Tl3+,[Tl+3],Thallium,thallium,14627-67-9,Thallium,[Tl],7440-28-0,,2D database
102,A,BEA,,C4H10N+,C=CCC[NH3+],3-Butenylammonium,but-3-enylazanium,,but-3-en-1-amine,C=CCCN,2524-49-4,,2D database
103,A,IFA,,CH4IN2+,C(=[NH2+])(N)I,Iodoformamidinium,[amino(iodo)methylidene]azanium,,iodomethanediamine,C(N)(N)I,,,2D database
104,A,F2EA,,C2H6F2N+,C(C(F)F)[NH3+],"2,2-difluoroethylammonium","2,2-difluoroethylazanium",,"2,2-difluoroethanamine",C(C(F)F)N,430-67-1,,2D database
105,A,HPA,,C3H10NO+,C(C[NH3+])CO,3-aminopropanol,3-hydroxypropylazanium,,3-aminopropan-1-ol,C(CN)CO,156-87-6,,2D database
106,A,BrEA,,C2H7BrN+,C(CBr)[NH3+],2-bromoethylammonium,2-bromoethylazanium,,2-bromoethanamine,C(CBr)N,107-09-5,,2D database
107,A,DDDA,,C12H30N2+2,C(CCCCCC[NH3+])CCCCC[NH3+],"1,12-dodecanediammonium",12-azaniumyldodecylazanium,2783-17-7,"dodecane-1,12-diamine",C(CCCCCCN)CCCCCN,2783-17-7,,2D database
108,A,DDA,,C10H25N2+,C(CCCCC[NH3+])CCCC[NH3+],"1,10-decanediammonium",10-aminodecanazanium,,"decane-1,10-diamine",C(CCCCCN)CCCCN,646-25-3,,2D database
