Experiment,Perovskite,Halogen,N_Slab,Molecule,Eslab,TotalAtoms,A,B,C,Alpha,Beta,Gamma,Emol,NCarbonsMol,NNitrogensMol,NHydrogensMol,FamilyMol,ParityMol,NormEnergy,MolAtoms,NormEmol
MAPbCl3_n2_CC(C)(CCC[NH3+])CCC[NH3+],MAPbCl3,Cl,2,CC(C)(CCC[NH3+])CCC[NH3+],-539.3228761199999,104.0,7.821321704822763,7.615636641770076,19.972387876656178,87.9489104657954,81.93433651403276,89.61371956432164,-188.49022561,9,2,24,branch,odd ,-1.5609848548076914,35,-5.385435017428572
MAPbCl3_n2_[NH3+]CC1CCC(C[NH3+])CC1,MAPbCl3,Cl,2,[NH3+]CC1CCC(C[NH3+])CC1,-489.16875185999993,94.0,7.96633584471107,7.969716382905433,16.801073446391214,90.10962803398097,91.59703660697501,89.43522131575064,-163.65683647,8,2,20,cyclic,even,-1.721862541702127,30,-5.455227882333333
MAPbCl3_n2_CC(C)(CC[NH3+])CC[NH3+],MAPbCl3,Cl,2,CC(C)(CC[NH3+])CC[NH3+],-470.34509268,92.0,8.035381215683373,7.533172677075998,17.461906162431468,89.78011175905472,92.36928727708353,91.60636665126418,-154.18603206,7,2,20,branch,odd,-1.7605763973913042,29,-5.316759726206897
MAPbCl3_n3_CC(C)(C[NH3+])C[NH3+],MAPbCl3,Cl,3,CC(C)(C[NH3+])C[NH3+],-476.4300299000001,104.0,7.905659817691069,7.986336369231833,20.914822270989962,90.35000957794112,88.01837656201491,90.11783365147035,-120.13791333,5,2,16,branch,odd,-2.2707134926923085,23,-5.223387536086957
MAPbCl3_n1_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],MAPbCl3,Cl,1,CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],-566.18920641,98.0,8.289422881631198,7.590423994259815,15.01314423531819,93.85636408039285,106.43966415899864,91.67092526300524,-239.68893898,12,2,30,branch,even,-0.8858298821428573,44,-5.447475885909091
MAPbCl3_n3_[NH3+]C1=CC=C([NH3+])C=C1,MAPbCl3,Cl,3,[NH3+]C1=CC=C([NH3+])C=C1,-448.44705375000007,94.0,7.467252054434122,7.945800278790919,21.811835073740678,88.7031284139933,89.48467359346986,90.10228155270708,-106.77937656,6,2,10,benzene,even,-2.498811708829788,18,-5.932187586666667
MAPbCl3_n2_CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],MAPbCl3,Cl,2,CC(C)(CCCC[NH3+])C(C)(C)CCCC[NH3+],-709.81331032,134.0,7.805381424225755,8.33863384314698,22.622045417591206,74.03900268698209,88.26491163911047,91.2032039622465,-273.96963262,14,2,34,branch,even,-1.2080152617910447,50,-5.4793926524000005
MAPbCl3_n3_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1,MAPbCl3,Cl,3,[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1,-655.64634041,130.0,7.787055835607987,7.887762893956932,26.696995886700797,90.72344743020025,99.52413744413683,90.06526473903025,-209.2911342,12,2,22,benzene,even,-1.8235697846923078,36,-5.813642616666666
MAPbCl3_n3_[NH3+]CCCCCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCCCCC[NH3+],-511.35856035,110.0,7.792912112320327,7.852458669531914,23.00115715402426,81.80733925224989,92.08269565739006,90.25166469732048,-137.11831366,6,2,18,lineal,even,-2.1556539366363636,26,-5.273781294615385
MAPbCl3_n3_[NH3+]CCCCCCCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCCCCCCC[NH3+],-579.81033181,122.0,7.572128006022896,8.012915059697589,27.203499172942966,90.42104108344367,89.07851866056147,90.14045465747287,-171.34456379,8,2,22,lineal,even,-1.943616428114754,32,-5.3545176184375
MAPbCl3_n2_[NH3+]C1=CC=C([NH3+])C=C1,MAPbCl3,Cl,2,[NH3+]C1=CC=C([NH3+])C=C1,-373.91817892999995,70.0,8.268710698824687,7.051491229163136,15.749234169915308,84.63908704591807,85.85696662313156,89.73816582066057,-106.77937656,6,2,10,benzene,even,-2.2908489401428564,18,-5.932187586666667
MAPbCl3_n1_CC(C)(C[NH3+])C[NH3+],MAPbCl3,Cl,1,CC(C)(C[NH3+])C[NH3+],-326.01758079,56.0,8.244230335997774,7.637023197575075,9.785452764221553,96.5324184274037,90.20910572985926,91.63749133379115,-120.13791333,5,2,16,branch,odd,-1.5311027523214287,23,-5.223387536086957
MAPbCl3_n3_[NH3+]CCCCCCCCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCCCCCCCC[NH3+],-614.0028794499999,128.0,7.707144053053768,7.803316306754481,28.312964533865845,87.06113563693721,94.42877342394804,89.99848286073245,-188.42385467,9,2,24,lineal,odd,-1.8527747664843743,35,-5.383538704857143
MAPbCl3_n3_[NH3+]CCCCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCCCC[NH3+],-476.7381643600001,104.0,7.987755469188038,7.7795421002746075,22.304415675381573,88.25705117353169,82.70758296956735,90.45077825575073,-119.9004908,5,2,16,lineal,odd,-2.278242141923078,23,-5.213064817391304
